choice1,choice2,choice3,choice4
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,ciro,bolsonaro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
haddad,bolsonaro,ciro,alckmin
